id_x,budget,popularity,revenue,title,avg_rating,rate_count,year,month,day,director_name,gender,movie_expense,profit,movie_performance,total_profit,director_performance,directors_rank,Release_Season,day_type,avg_profit_per_year,avg_total_profit_per_year
43597,237.0,150,2787.97,Avatar,7.2,11800,2009,Dec,Thursday,James Cameron,Male,130.3,2550.97,Blockbuster,5136.67,Best,3.0,Winter,Weekday,120.02454545454545,822.805606060606
43598,300.0,139,961.0,Pirates of the Caribbean: At World's End,6.9,4500,2007,May,Saturday,Gore Verbinski,Male,141.85714285714286,661.0,Blockbuster,2070.01,Normal,13.0,Spring,Weekend,100.77203703703705,706.7029629629629
43599,245.0,107,880.67,Spectre,6.3,4466,2015,Oct,Monday,Sam Mendes,Male,150.14285714285714,635.67,Blockbuster,2049.5499999999997,Normal,14.0,Autumn,Weekday,131.90341463414634,1011.5417073170731
43600,250.0,112,1084.94,The Dark Knight Rises,7.6,9106,2012,Jul,Monday,Christopher Nolan,Male,124.375,834.94,Blockbuster,3222.48,Best,5.0,Summer,Weekday,140.09122448979593,997.1065306122449
43602,258.0,115,890.87,Spider-Man 3,5.9,3576,2007,May,Tuesday,Sam Raimi,Male,172.4590909090909,632.87,Blockbuster,2191.95,Normal,10.0,Spring,Weekday,100.77203703703705,706.7029629629629
43606,250.0,155,873.26,Batman v Superman: Dawn of Justice,5.7,7004,2016,Mar,Wednesday,Zack Snyder,Male,127.14285714285714,623.26,Blockbuster,1616.2,Normal,22.0,Spring,Weekday,157.44346153846152,1130.3807692307694
43607,270.0,57,391.08,Superman Returns,5.4,1400,2006,Jun,Wednesday,Bryan Singer,Male,125.125,121.07999999999998,Normal,1649.2299999999998,Normal,21.0,Summer,Weekday,80.45287671232877,673.7645205479452
43608,200.0,107,586.09,Quantum of Solace,6.1,2965,2008,Oct,Thursday,Marc Forster,Male,136.3125,386.09000000000003,Blockbuster,899.59,Normal,43.0,Autumn,Weekday,97.81507462686567,777.1591044776119
43609,200.0,145,1065.66,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,2006,Jun,Tuesday,Gore Verbinski,Male,41.85714285714286,865.6600000000001,Blockbuster,2070.01,Normal,13.0,Summer,Weekday,80.45287671232877,673.7645205479452
43610,255.0,49,89.29,The Lone Ranger,5.9,2311,2013,Jul,Wednesday,Gore Verbinski,Male,96.85714285714286,-165.70999999999998,Normal,2070.01,Normal,13.0,Summer,Weekday,100.15491228070175,899.7371929824561
43611,225.0,99,662.85,Man of Steel,6.5,6359,2013,Jun,Wednesday,Zack Snyder,Male,102.14285714285714,437.85,Blockbuster,1616.2,Normal,22.0,Summer,Weekday,100.15491228070175,899.7371929824561
